trade_date,cash,positions_count,portfolio_value,turnover,benchmark_value,equal_weight_value
20210621,778092.79600795,2,1010300.79600795,0.0,1467364.73348361,2346053.119872421
20210622,778092.79600795,2,1011936.79600795,0.0,1476523.653541117,2367365.60460755
20210623,778092.79600795,2,999423.79600795,0.0,1483798.0895262246,2377068.795447886
20210624,906860.67985795,1,997867.67985795,0.12921101925894066,1486271.3775828201,2386866.827506682
20210625,906860.67985795,1,999610.67985795,0.0,1510483.829913652,2431935.4681752766
20210628,906860.67985795,1,999596.67985795,0.0,1513883.0155504094,2441604.6581966095
20210629,906860.67985795,1,997391.67985795,0.0,1496236.797095426,2411560.3152127415
20210630,906860.67985795,1,997125.67985795,0.0,1505892.5655555378,2431272.7681772886
20210701,906860.67985795,1,999260.67985795,0.0,1507513.520497245,2439242.0955800773
20210702,906860.67985795,1,995228.67985795,0.0,1464693.0635108661,2362216.872866466
20210705,906860.67985795,1,991665.67985795,0.0,1466040.746065901,2361358.5342003196
20210706,21373.722324100112,21,973373.7223241001,1.0832440359931153,1465265.8689534375,2356800.8657070673
20210707,147447.46261975012,18,1002267.4626197501,0.1259522574643265,1481807.9574266986,2393141.069967595
20210708,147447.46261975012,18,999577.4626197501,0.0,1466751.0813140434,2368981.779918248
20210709,147447.46261975012,18,992373.4626197501,0.0,1461325.8461311576,2354287.84142292
20210712,220201.31699500012,16,1010353.3169950001,0.0721020619961606,1479564.9618908972,2391288.5076509095
20210713,313592.9698090001,14,1005286.9698090001,0.0930214185684383,1482271.8286552157,2400176.2864672355
20210714,313592.9698090001,14,980636.9698090001,0.0,1465260.276670419,2380817.4882686883
20210715,313592.9698090001,14,992923.9698090001,0.0,1484970.969997632,2415867.9674911005
20210716,352528.78436290007,13,967236.7843629001,0.040307086775736765,1468629.4254056034,2379170.3478104034
20210719,352528.78436290007,13,970927.7843629001,0.0,1474026.209127978,2397431.8622018667
20210720,396449.6129629001,12,975330.6129629001,0.045090351328563136,1472728.9147725112,2392072.434115749
20210721,396449.6129629001,12,997944.6129629001,0.0,1482832.1235264982,2409846.488109441
20210722,396449.6129629001,12,996599.6129629001,0.0,1485054.3065450867,2402786.061512197
20210723,445692.8474287001,11,985481.8474287001,0.05003373134538371,1467031.156684182,2358074.2004944137
20210726,537851.7224399501,9,976180.7224399501,0.09453048536888778,1419776.5957882267,2268568.9910807754
20210727,537851.7224399501,9,950267.7224399501,0.0,1369623.0414974496,2177343.771999092
20210728,586765.5506912501,8,952700.5506912501,0.05140912216799228,1372266.2888358831,2193044.9405226866
20210729,834387.1895354501,3,966251.1895354501,0.25660404735874676,1398149.9113507837,2233511.264807595
20210730,834387.1895354501,3,963176.1895354501,0.0,1386877.396574329,2196052.045561137
20210802,834387.1895354501,3,970357.1895354501,0.0,1422208.6623772127,2257380.93148555
20210803,834387.1895354501,3,967867.1895354501,0.0,1422416.8740279444,2259122.095766788
20210804,834387.1895354501,3,978319.1895354501,0.0,1435212.7094028932,2296349.000712627
20210805,834387.1895354501,3,980099.1895354501,0.0,1426513.6537319466,2284882.341174218
20210806,834387.1895354501,3,976758.1895354501,0.0,1418700.138959585,2272977.5932471207
20210809,834387.1895354501,3,973271.1895354501,0.0,1437148.3311560904,2294183.1523489123
20210810,834387.1895354501,3,972497.1895354501,0.0,1453747.985553,2309953.310102927
20210811,861937.5274754501,2,968119.5274754501,0.028494622014221836,1445732.1685011373,2293616.4024380767
20210812,861937.5274754501,2,963553.5274754501,0.0,1433628.133127007,2273356.2455526944
20210813,861937.5274754501,2,961669.5274754501,0.0,1425738.9784028912,2253655.753992919
20210816,906131.8630535501,1,962531.8630535501,0.04597443959892896,1424322.0841389536,2242225.1580771604
20210817,906131.8630535501,1,963695.8630535501,0.0,1394439.6333514766,2191602.207482974
20210818,906131.8630535501,1,963071.8630535501,0.0,1410823.004761339,2211052.4219389055
20210819,906131.8630535501,1,964955.8630535501,0.0,1401570.0824619604,2204084.13203742
20210820,906131.8630535501,1,964883.8630535501,0.0,1374798.728257189,2150680.1281929044
20210823,906131.8630535501,1,966647.8630535501,0.0,1393999.9761319056,2185967.759444753
20210824,906131.8630535501,1,966971.8630535501,0.0,1409137.1908670985,2219918.068397118
20210825,906131.8630535501,1,971699.8630535501,0.0,1411952.6459310576,2221311.148395495
20210826,906131.8630535501,1,971159.8630535501,0.0,1384121.582920499,2176937.1873267884
20210827,906131.8630535501,1,974975.8630535501,0.0,1391453.21008864,2193932.513835122
20210830,906131.8630535501,1,978719.8630535501,0.0,1387482.97740758,2194303.290214179
20210831,906131.8630535501,1,979331.8630535501,0.0,1385274.7750965375,2165132.1572749875
20210901,906131.8630535501,1,973751.8630535501,0.0,1403679.958600963,2181593.45275539
20210902,906131.8630535501,1,980411.8630535501,0.0,1403666.2949816291,2167773.52040776
20210903,906131.8630535501,1,976391.8630535501,0.0,1396070.9080731869,2145700.1583344014
20210906,906131.8630535501,1,972911.8630535501,0.0,1422205.8374095021,2195020.8290035585
20210907,906131.8630535501,1,974747.8630535501,0.0,1439243.0447133004,2222096.5700952215
20210908,906131.8630535501,1,972275.8630535501,0.0,1433276.8858662888,2208499.034666892
20210909,906131.8630535501,1,974423.8630535501,0.0,1432666.0298382312,2200498.115607253
20210910,906131.8630535501,1,976511.8630535501,0.0,1445207.9063812618,2231524.2518344875
20210913,906131.8630535501,1,972683.8630535501,0.0,1438905.893464933,2210926.941127377
20210914,906131.8630535501,1,968495.8630535501,0.0,1417430.921324015,2183317.0902197105
20210915,969018.5040035502,0,969018.5040035502,0.06498173124645441,1403063.0778968702,2152514.9182620957
20210916,969018.5040035502,0,969018.5040035502,0.0,1385876.6373498435,2123247.7375143496
