signal_date,trade_date,symbol,action,shares,raw_open,execution_price,price,trade_value,commission,stamp_tax,slippage_cost,net_trade_value,entry_value,realized_pnl,return_pct,holding_days,reason
20210104,20210105,300015.SZ,buy,400,67.51,67.543755,67.543755,27017.502,8.1052506,0.0,13.501999999999725,-27025.607250600002,27025.607250600002,,,,signal_buy
20210104,20210105,002415.SZ,buy,600,49.5,49.52475,49.52475,29714.85,8.914454999999998,0.0,14.849999999998431,-29723.764454999997,29723.764454999997,,,,signal_buy
20210104,20210105,002714.SZ,buy,300,88.39,88.434195,88.434195,26530.2585,7.959077549999999,0.0,13.258500000000595,-26538.21757755,26538.21757755,,,,signal_buy
20210104,20210105,601601.SH,buy,800,38.1,38.11905,38.11905,30495.24,9.148572,0.0,15.240000000000009,-30504.388572,30504.388572,,,,signal_buy
20210104,20210105,300059.SZ,buy,1000,31.68,31.695839999999997,31.695839999999997,31695.839999999997,9.508751999999998,0.0,15.83999999999719,-31705.348751999998,31705.348751999998,,,,signal_buy
20210104,20210105,600690.SH,buy,1100,29.7,29.71485,29.71485,32686.335,9.805900499999998,0.0,16.334999999999056,-32696.1409005,32696.1409005,,,,signal_buy
20210104,20210105,002142.SZ,buy,900,34.95,34.967475,34.967475,31470.7275,9.441218249999999,0.0,15.727499999997718,-31480.16871825,31480.16871825,,,,signal_buy
20210104,20210105,603501.SH,buy,100,229.99,230.104995,230.104995,23010.4995,6.90314985,0.0,11.49949999999933,-23017.402649850002,23017.402649850002,,,,signal_buy
20210104,20210105,601899.SH,buy,3400,10.09,10.095044999999999,10.095044999999999,34323.153,10.296945899999999,0.0,17.152999999996865,-34333.4499459,34333.4499459,,,,signal_buy
20210104,20210105,000725.SZ,buy,5900,5.85,5.852924999999999,5.852924999999999,34532.25749999999,10.359677249999997,0.0,17.257499999996462,-34542.617177249995,34542.617177249995,,,,signal_buy
20210104,20210105,002594.SZ,buy,100,206.0,206.10299999999998,206.10299999999998,20610.3,6.183089999999999,0.0,10.299999999998022,-20616.483089999998,20616.483089999998,,,,signal_buy
20210104,20210105,600031.SH,buy,1000,34.51,34.527255,34.527255,34527.255,10.358176499999999,0.0,17.254999999998688,-34537.613176499995,34537.613176499995,,,,signal_buy
20210104,20210105,601012.SH,buy,300,99.01,99.059505,99.059505,29717.8515,8.91535545,0.0,14.851499999998907,-29726.76685545,29726.76685545,,,,signal_buy
