year,strategy_return,benchmark_return,equal_weight_return,excess_vs_csi300,max_drawdown,average_exposure,turnover
2021,-0.05419617366039964,-0.06214167003355786,-0.07691073102670698,0.007945496373158223,-0.18248893361455654,0.4074947089492416,8.451963078113765
2022,-0.22886532676382187,-0.2127249748986597,-0.2217269912559593,-0.01614035186516216,-0.23545994236773193,0.3429502515938469,7.526746258452799
2023,-0.020454210737736567,-0.11749000591373371,-0.11992843133198317,0.09703579517599714,-0.09515805616896089,0.47212447337167934,7.579876589300986
2024,0.2166132484706078,0.16199103566368578,0.1969254511187557,0.05462221280692203,-0.1317549345449719,0.4065168586871094,7.842312797663296
2025,0.0591275217032361,0.21190066933389495,0.27023660577713526,-0.15277314763065886,-0.08615405609324256,0.44262596523888165,6.786413804815268
