symbol,entry_trade_date,exit_trade_date,entry_price,exit_price,shares,entry_value,exit_net_value,realized_pnl,return_pct,holding_days,exit_reason,signal_close_adj,signal_sar,signal_rsi,signal_volume_ratio,signal_strength
300124.SZ,20210105,20210114,60.92978703451153,56.984345147367925,600,36568.839582373126,34146.159299205814,-2422.680283167312,-0.0662498539968736,9.0,sar_break,58.24381086848396,66.0830779597927,51.73926468607742,1.674811443639549,0.0
002304.SZ,20210105,20210114,204.96157054837943,180.28656493184877,300,61506.91770586318,54015.65771923121,-7491.259986631972,-0.1217954055583875,9.0,sar_break,180.37675330850303,224.59251129249543,48.336259794223665,1.9486651323424322,0.0
000858.SZ,20210105,20210119,255.22744972058027,246.2244214324479,100,25530.40179554964,24590.432968458575,-939.9688270910664,-0.0368176276510821,14.0,sar_break,244.24462795370877,288.1118181595944,49.40311757145335,1.1098266381755177,0.0
600809.SH,20210105,20210128,246.26234960180153,235.02407297694327,100,24633.62283066821,23471.854168207326,-1161.7686624608832,-0.0471619083578121,23.0,sar_break,239.55661277814232,286.41203841794425,30.72721498888535,0.8096180904110597,0.0
601601.SH,20210105,20210129,31.431290438764776,29.79208951048951,1000,31440.719825896405,29753.35979412587,-1687.3600317705314,-0.0536679834658468,24.0,sar_break,30.21914722445696,36.170654124636435,41.70212765957448,0.9174343658103792,0.0
601899.SH,20210105,20210129,9.194389080948223,9.014510107042772,3600,33109.73063162103,32410.04847805302,-699.6821535680101,-0.0211322212600481,24.0,sar_break,8.818596958698949,10.531299673818166,31.319910514541434,1.0817298628666656,0.0
000725.SZ,20210105,20210201,5.262369698923938,5.617030881485849,6300,33162.87498195177,35341.29107044148,2178.4160884897137,0.0656883967290312,27.0,sar_break,5.556898584905659,6.734817216981132,46.62379421221864,1.1553397180359015,0.0
600031.SH,20210105,20210201,31.051202622202208,36.04465252066532,1000,31060.517982988866,35997.79447238846,4937.276489399592,0.1589566694317082,27.0,sar_break,36.38643863044038,43.97668929877742,46.654099905749305,0.6237098703926142,0.0
603288.SH,20210105,20210201,108.64021530798452,105.82185917239558,300,32601.842211773073,31705.28722664144,-896.5549851316355,-0.0275001326399854,27.0,sar_break,107.04762369305986,119.22656459813383,38.39811542991749,0.6865603445767249,0.0
002027.SZ,20210105,20210201,7.868169652940748,8.54905843998742,4400,34630.33245688117,37566.95652166792,2936.6240647867453,0.084799187776877,27.0,sar_break,8.506338760796456,9.681247429414752,44.366197183098585,0.6914196806762225,0.0
600276.SH,20210105,20210201,91.03002333175382,83.79180613181579,500,45528.66616937667,41841.43839192221,-3687.227777454464,-0.0809869492714142,27.0,sar_break,84.89739505939976,95.62411874124952,36.74402250351618,1.0396562152258553,0.0
300014.SZ,20210105,20210209,90.10864244790248,98.17998224685782,400,36054.27001625474,39220.93930797476,3166.66929172002,0.0878306311649731,35.0,sar_break,98.86826867620653,116.21306926383372,58.54721549636803,1.428204674006443,0.0
002352.SZ,20210105,20210210,83.20606683992678,107.9455756852132,400,33292.4114639915,43122.09857472897,9829.687110737468,0.2952530825641479,36.0,signal_or_risk,,,,,
300059.SZ,20210105,20210223,18.082978598067168,19.13706166319488,1800,32559.12628496386,34401.9302694589,1842.80398449504,0.0565986927402921,49.0,sar_break,19.186571346854706,23.145976792800933,39.15881073241482,1.498628723498799,0.0
600690.SH,20210105,20210223,25.949300741901578,25.565228713443116,1200,31148.502638548976,30638.392699338765,-510.10993921021145,-0.0163767082202823,49.0,sar_break,25.778869346617345,31.3939821480655,35.18518518518515,2.2372911978411802,0.0
000333.SZ,20210105,20210223,80.62822024758005,73.13767624454846,700,56456.68609955803,51129.81808580139,-5326.868013756641,-0.094353182621506,49.0,sar_break,74.31645569620252,88.74587809807467,39.85389610389609,2.039198123618313,0.0
603501.SH,20210105,20210224,168.0179485328101,214.6081425768476,100,16806.835391736993,21432.91519914977,4626.079807412778,0.2752499027679637,50.0,sar_break,214.71550032701109,239.54654458251576,42.420262664165094,0.7362810372561612,0.0
603259.SH,20210105,20210224,106.52745580409412,121.8785218262544,400,42623.76561633414,48688.0318991521,6064.26628281796,0.1422742968653626,50.0,sar_break,120.462850182704,146.32738988644846,39.477182100132914,1.1480571925454677,0.0
300015.SZ,20210105,20210225,29.81843567279737,33.33672534790903,1000,29827.38120349921,33293.38760495675,3466.0064014575364,0.1162021693359697,51.0,sar_break,33.01788139298129,40.92027578975044,44.24259362772497,1.780497595512749,0.0
002415.SZ,20210105,20210225,43.75311785661803,50.491444073475385,700,30636.37065438251,35298.06363732591,4661.692982943401,0.1521620506401775,51.0,sar_break,49.52721822189567,62.26682733284351,34.86766398158804,1.156930741333087,0.0
002594.SZ,20210105,20210225,66.73368986317026,69.83566376710372,400,26701.483988051685,27897.950961682596,1196.4669736309115,0.0448090066517015,51.0,sar_break,67.6751007968507,88.52261976570685,34.983442302793605,1.562524314646693,0.0
