relative_path,bytes,sha256,rows,start_date,end_date,columns
data/interim/sar_project/prices/000792.SZ.csv,338280,e90ce71bb517a59c0fa9deb7cb203d92f1a99763f15c9160f1181b3781f17ada,2111,20160104,20251231,ts_code|trade_date|open|high|low|close|pre_close|change|pct_chg|vol|amount|adj_factor|up_limit|down_limit|open_adj|high_adj|low_adj|close_adj|pre_close_adj|up_limit_adj|down_limit_adj
data/interim/sar_project/prices/000858.SZ.csv,570774,05a13c28f6546cbd8b481e5b5e7b7e09ea412dea14d045026a5494d17d8da74c,2430,20160104,20251231,ts_code|trade_date|open|high|low|close|pre_close|change|pct_chg|vol|amount|adj_factor|up_limit|down_limit|open_adj|high_adj|low_adj|close_adj|pre_close_adj|up_limit_adj|down_limit_adj
data/interim/sar_project/prices/000876.SZ.csv,527944,b0582b59a63d54b6bbf0f76b38fc86bad5bf53cd877a6b91cb60973dfe279663,2387,20160302,20251231,ts_code|trade_date|open|high|low|close|pre_close|change|pct_chg|vol|amount|adj_factor|up_limit|down_limit|open_adj|high_adj|low_adj|close_adj|pre_close_adj|up_limit_adj|down_limit_adj
data/interim/sar_project/prices/001979.SZ.csv,540719,33bc7344cbdc89fa4a50102166a63f6286a3fd19979559e31aeae923369c5c06,2414,20160104,20251231,ts_code|trade_date|open|high|low|close|pre_close|change|pct_chg|vol|amount|adj_factor|up_limit|down_limit|open_adj|high_adj|low_adj|close_adj|pre_close_adj|up_limit_adj|down_limit_adj
data/interim/sar_project/prices/002024.SZ.csv,451210,8e0377ff78f56e7e7abd2b38f6a7355c5b436e1ed9da2ee3ea87334453a4e85c,2411,20160104,20251231,ts_code|trade_date|open|high|low|close|pre_close|change|pct_chg|vol|amount|adj_factor|up_limit|down_limit|open_adj|high_adj|low_adj|close_adj|pre_close_adj|up_limit_adj|down_limit_adj
data/interim/sar_project/prices/002027.SZ.csv,536821,93bc76f789299c79464cf504ef1b065f09f75a66dfb7b6cad4cfd5a1b16e2547,2430,20160104,20251231,ts_code|trade_date|open|high|low|close|pre_close|change|pct_chg|vol|amount|adj_factor|up_limit|down_limit|open_adj|high_adj|low_adj|close_adj|pre_close_adj|up_limit_adj|down_limit_adj
data/interim/sar_project/prices/002049.SZ.csv,510293,29d08802c7d6dbb9af69642ace01062dcdfd6777c791d74b96474e95b572c3c8,2268,20160311,20251229,ts_code|trade_date|open|high|low|close|pre_close|change|pct_chg|vol|amount|adj_factor|up_limit|down_limit|open_adj|high_adj|low_adj|close_adj|pre_close_adj|up_limit_adj|down_limit_adj
data/interim/sar_project/prices/002129.SZ.csv,426593,fd0a7205296b534f8f34f4f79329dd429f93924a42dee70d58aaa127757c08da,2023,20160104,20251231,ts_code|trade_date|open|high|low|close|pre_close|change|pct_chg|vol|amount|adj_factor|up_limit|down_limit|open_adj|high_adj|low_adj|close_adj|pre_close_adj|up_limit_adj|down_limit_adj
data/interim/sar_project/prices/002142.SZ.csv,555142,ae142171b8ba6295b65b7aae6bfdcee34b04f575e8e7e0f8d47ac9944f2bdbe3,2423,20160104,20251231,ts_code|trade_date|open|high|low|close|pre_close|change|pct_chg|vol|amount|adj_factor|up_limit|down_limit|open_adj|high_adj|low_adj|close_adj|pre_close_adj|up_limit_adj|down_limit_adj
data/interim/sar_project/prices/002230.SZ.csv,535145,51e528bda7a519ecfdebb21bfc4328da6f5d784d2afc693c03dac43b387841d9,2382,20160104,20251231,ts_code|trade_date|open|high|low|close|pre_close|change|pct_chg|vol|amount|adj_factor|up_limit|down_limit|open_adj|high_adj|low_adj|close_adj|pre_close_adj|up_limit_adj|down_limit_adj
