signal_date,trade_date,symbol,action,shares,raw_open,execution_price,price,trade_value,commission,stamp_tax,slippage_cost,net_trade_value,entry_value,realized_pnl,return_pct,holding_days,reason,signal_close,signal_close_adj,signal_sar,signal_ma60,signal_atr20,signal_rsi,signal_volume_ratio,signal_signal_strength,execution_open,execution_open_adj,execution_up_limit,execution_down_limit,execution_up_limit_adj,execution_down_limit_adj,signal_in_universe,matched_entry_trade_date,matched_entry_price,inferred_reason,entry_reason,exit_reason
20210104,20210105,300015.SZ,buy,400,67.51,67.543755,67.543755,27017.502,8.1052506,0.0,13.501999999999724,-27025.6072506,27025.6072506,,,,signal_buy,68.22,30.116976493211496,27.771527447580556,,,48.3342147012163,6.083869806153137,0.9033315705975675,67.51,29.80353390584445,81.86,54.58,36.138605918122146,24.095347068300843,True,,,signal_buy,signal_buy,
20210104,20210105,002415.SZ,buy,600,49.5,49.52475,49.52475,29714.85,8.914454999999998,0.0,14.849999999998431,-29723.764454999997,29723.764454999997,,,,signal_buy,49.8,43.99629012280885,38.3244792274588,,,67.90571169537623,2.8549859906746153,0.849687175676709,49.5,43.73125223050278,54.78,44.82,48.39591913508974,39.59666111052797,True,,,signal_buy,signal_buy,
20210104,20210105,002714.SZ,buy,300,88.39,88.434195,88.434195,26530.2585,7.959077549999999,0.0,13.258500000000597,-26538.21757755,26538.21757755,,,,signal_buy,84.81,55.354584911361805,45.803373727163105,,,70.35977105478327,1.9914489942167124,0.7584253573121047,88.39,57.691212832393234,93.29,76.33,60.88939071313456,49.819779109589035,True,,,signal_buy,signal_buy,
20210104,20210105,601601.SH,buy,800,38.1,38.11905,38.11905,30495.24,9.148572,0.0,15.240000000000007,-30504.388572,30504.388572,,,,signal_buy,38.35,31.62172164119067,27.78417573467075,,,55.42035398230089,1.5867493119176164,0.7478342232271599,38.1,31.415582647441056,42.19,34.52,34.78801658518473,28.4636722569466,True,,,signal_buy,signal_buy,
20210104,20210105,300059.SZ,buy,1000,31.68,31.695839999999997,31.695839999999997,31695.839999999997,9.508751999999998,0.0,15.83999999999719,-31705.348752,31705.348752,,,,signal_buy,32.2,18.37060986103422,13.881791633634712,,,77.25947521865888,1.8602758604415561,0.7315086356068379,31.68,18.073941627253543,38.64,25.76,22.044731833241062,14.69648788882738,True,,,signal_buy,signal_buy,
20210104,20210105,600690.SH,buy,1100,29.7,29.71485,29.71485,32686.335,9.805900499999998,0.0,16.334999999999056,-32696.1409005,32696.1409005,,,,signal_buy,30.01,26.207048504854193,22.259835601090742,,,73.86759581881536,1.7667852710227365,0.7289433354646428,29.7,25.936332575613772,33.01,27.01,28.82688007814851,23.58721693155987,True,,,signal_buy,signal_buy,
20210104,20210105,002142.SZ,buy,900,34.95,34.967475,34.967475,31470.7275,9.44121825,0.0,15.727499999997718,-31480.16871825,31480.16871825,,,,signal_buy,34.94,29.59741870083529,28.19041658331312,,,48.63813229571984,1.2075698788409315,0.7234807232926534,34.95,29.605889627767414,38.43,31.45,32.55377220014597,26.64106520152461,True,,,signal_buy,signal_buy,
20210104,20210105,603501.SH,buy,100,229.99,230.104995,230.104995,23010.4995,6.90314985,0.0,11.49949999999933,-23017.40264985,23017.40264985,,,,signal_buy,230.05,167.97779231160524,144.25210193842392,,,46.239372138652726,1.1248123316016647,0.720002488882861,229.99,167.93398154203908,253.06,207.05,184.7792224402296,151.18366397790857,True,,,signal_buy,signal_buy,
20210104,20210105,601899.SH,buy,3400,10.09,10.095045,10.095045,34323.153,10.2969459,0.0,17.152999999996865,-34333.4499459,34333.4499459,,,,signal_buy,10.04,9.144255065006664,7.644814685289504,,,69.87012987012992,1.5702480447760214,0.7172845447373423,10.09,9.189794183856296,11.04,9.04,10.055037441999357,8.233472688013965,True,,,signal_buy,signal_buy,
20210104,20210105,000725.SZ,buy,5900,5.85,5.852924999999999,5.852924999999999,34532.25749999999,10.359677249999995,0.0,17.257499999996462,-34542.617177249995,34542.617177249995,,,,signal_buy,5.92,5.322676886792453,4.402795431537241,,,73.5483870967742,1.6062064724335676,0.7135238730498084,5.85,5.259739829009433,6.51,5.33,5.8531463738207545,4.792207399764151,True,,,signal_buy,signal_buy,
20210104,20210105,002594.SZ,buy,100,206.0,206.103,206.103,20610.3,6.183089999999999,0.0,10.299999999998022,-20616.48309,20616.48309,,,,signal_buy,206.76,66.94641861646402,52.74477979967618,,,70.81530403097247,1.509065045445952,0.7092758964826502,206.0,66.7003396933236,227.44,186.08,73.64235563033748,60.25048160259056,True,,,signal_buy,signal_buy,
20210104,20210105,600031.SH,buy,1000,34.51,34.527255,34.527255,34527.255,10.3581765,0.0,17.254999999998688,-34537.613176499995,34537.613176499995,,,,signal_buy,34.8,31.296488853592237,25.703068579210907,,,73.11258278145692,1.5190478551799675,0.705679619955083,34.51,31.035684779812303,38.28,31.32,34.42613773895147,28.166839968233017,True,,,signal_buy,signal_buy,
20210104,20210105,601012.SH,buy,300,99.01,99.059505,99.059505,29717.8515,8.91535545,0.0,14.851499999998907,-29726.76685545,29726.76685545,,,,signal_buy,100.1,49.500697031911386,32.15665716823469,,,79.9409303470342,1.6256171485297346,0.702679854158905,99.01,48.96167845284262,110.11,90.09,54.45076673510253,44.55062732872025,True,,,signal_buy,signal_buy,
20210104,20210105,000858.SZ,buy,100,297.2,297.3486,297.3486,29734.859999999997,8.920457999999998,0.0,14.859999999998765,-29743.780457999997,29743.780457999997,,,,signal_buy,298.05,255.82949235079283,232.4415799617045,,,72.42435158501453,1.3963360520421764,0.6947849020341885,297.2,255.09989977069495,327.86,268.25,281.4167333069315,230.25083483677292,True,,,signal_buy,signal_buy,
20210104,20210105,603288.SH,buy,100,200.0,200.1,200.1,20010.0,6.002999999999999,0.0,9.999999999999432,-20016.003,20016.003,,,,signal_buy,200.52,108.86824574491284,93.2145407990087,,,58.05790417627473,1.0551607858556107,0.6894002702330116,200.0,108.58592234681112,220.57,180.47,119.75398446018065,97.982507029645,True,,,signal_buy,signal_buy,
20210104,20210105,002352.SZ,buy,400,90.18,90.22509,90.22509,36090.036,10.827010799999998,0.0,18.03600000000074,-36100.8630108,36100.8630108,,,,signal_buy,90.48,83.4411462230359,69.8197853247533,,,82.94829482948298,1.541436489764307,0.6882470593174648,90.18,83.16448459762796,99.53,81.43,91.78710525617554,75.09518718989627,True,,,signal_buy,signal_buy,
20210104,20210105,300014.SZ,buy,400,93.0,93.0465,93.0465,37218.6,11.16558,0.0,18.599999999997863,-37229.76558,37229.76558,,,,signal_buy,93.49,90.5381393438163,68.37445531704996,,,78.44390566453603,1.4048081127966434,0.6835929999505922,93.0,90.0636106425812,112.19,74.79,108.64770406442136,72.42857462321128,True,,,signal_buy,signal_buy,
20210104,20210105,300124.SZ,buy,400,94.0,94.047,94.047,37618.8,11.285639999999995,0.0,18.799999999998818,-37630.08564,37630.08564,,,,signal_buy,95.59,61.9294431787187,55.07039357609006,,,66.1016949152542,1.1133950115876399,0.6791361113282556,94.0,60.899337365828615,114.71,76.47,74.31662754504468,49.5422588123927,True,,,signal_buy,signal_buy,
20210104,20210105,600887.SH,buy,800,48.1,48.12405,48.12405,38499.24,11.549772,0.0,19.23999999999637,-38510.789772,38510.789772,,,,signal_buy,47.36,39.44720824216302,31.30495108529289,,,78.56025039123632,1.359505929814841,0.6788300921990115,48.1,40.06357087094682,52.1,42.62,43.39526075626464,35.499155728061396,True,,,signal_buy,signal_buy,
20210104,20210105,600309.SH,buy,400,93.8,93.8469,93.8469,37538.759999999995,11.261627999999998,0.0,18.75999999999749,-37550.021627999995,37550.021627999995,,,,signal_buy,94.12,85.02225481593509,72.07740875226797,,,75.55309734513281,1.280809131353,0.6769747184450344,93.8,84.7331863762719,103.53,84.71,93.5226736197807,76.52183601208947,True,,,signal_buy,signal_buy,
20210104,20210105,600809.SH,buy,100,373.0,373.1865,373.1865,37318.649999999994,11.195594999999996,0.0,18.64999999999668,-37329.84559499999,37329.84559499999,,,,signal_buy,373.63,246.5550111853487,174.9697339124176,,,82.71553170077158,1.3753584445530542,0.6721047810537623,373.0,246.13927996182065,410.99,336.27,271.2085326313906,221.9014897393068,True,,,signal_buy,signal_buy,
20210104,20210105,600438.SH,buy,1100,41.05,41.070525,41.070525,45177.5775,13.553273249999998,0.0,22.57749999999916,-45191.13077325,45191.13077325,,,,signal_buy,41.65,35.88087887390584,25.165176112247952,,,75.54671968190858,1.2177455156270685,0.6706811121988897,41.05,35.36398746155666,45.82,37.49,39.47327418973267,32.297098414951506,True,,,signal_buy,signal_buy,
20210104,20210105,600276.SH,buy,400,111.2,111.2556,111.2556,44502.24,13.350671999999998,0.0,22.239999999999327,-44515.590672,44515.590672,,,,signal_buy,111.2,90.98453106622073,74.06299364225096,,,75.5388713974328,1.0222644303669692,0.6511487002418314,111.2,90.98453106622073,122.32,100.08,100.0829841728428,81.88607795959865,True,,,signal_buy,signal_buy,
20210104,20210105,000568.SZ,buy,200,240.85,240.970425,240.970425,48194.08499999999,14.458225499999996,0.0,24.084999999996626,-48208.54322549999,48208.54322549999,,,,signal_buy,240.85,209.7803455186767,163.67467829523693,,,82.75809407452661,1.1179032076285123,0.646274132613798,240.85,209.7803455186767,264.94,216.77,230.7627350704514,188.80666596671605,True,,,signal_buy,signal_buy,
20210104,20210105,603259.SH,buy,300,136.98,137.04849,137.04849,41114.547,12.334364099999998,0.0,20.546999999999116,-41126.8813641,41126.8813641,,,,signal_buy,137.11,106.57526737652746,80.3543123596925,,,87.82031002847197,1.1875874609368295,0.643118126036739,136.98,106.47421869474675,150.82,123.4,117.232016816628,95.91851793642684,True,,,signal_buy,signal_buy,
20210104,20210105,601888.SH,buy,100,290.0,290.145,290.145,29014.5,8.70435,0.0,14.49999999999818,-29023.20435,29023.20435,,,,signal_buy,292.25,274.6257441118109,180.90921059163776,,,88.24273072060684,1.1868030960853588,0.6421948481673221,290.0,272.51143128289186,321.48,263.03,302.09301699594516,247.1678681735829,True,,,signal_buy,signal_buy,
20210104,20210105,000333.SZ,buy,600,98.07,98.11903499999998,98.11903499999998,58871.42099999999,17.661426299999995,0.0,29.42099999999357,-58889.08242629999,58889.08242629999,,,,signal_buy,99.01,81.36036077722228,68.82164359926884,,,91.6047972587094,1.1382422877091483,0.630614634253496,98.07,80.58792628443783,108.91,89.11,89.49557511612241,73.22514643832217,True,,,signal_buy,signal_buy,
20210104,20210105,002304.SZ,buy,200,245.0,245.12249999999997,245.12249999999997,49024.49999999999,14.707349999999996,0.0,24.49999999999477,-49039.20734999999,49039.20734999999,,,,signal_buy,246.98,206.5147373008955,159.83488635793833,,,84.97109826589598,0.7608473427915529,0.6061425377473634,245.0,204.8591409778905,271.68,222.28,227.1678833505032,185.8615912512877,True,,,signal_buy,signal_buy,
20210113,20210114,300124.SZ,sell,400,88.0,87.956,87.956,35182.4,10.55472,35.1824,17.599999999998772,35136.66288,37630.08564,-2493.422759999994,-0.0662614160343429,9.0,signal_or_risk,89.9,58.24381086848396,66.0830779597927,,,51.73926468607742,1.674811443639549,0.0,88.0,57.0128515731545,107.88,71.92,69.89257304218076,46.59504869478717,True,20210105,94.047,sar_break,,sar_break
20210113,20210114,002304.SZ,sell,200,215.7,215.59215,215.59215,43118.43,12.935529,43.11843,21.56999999999698,43062.376041,49039.20734999999,-5976.8313089999865,-0.1218786279790875,9.0,signal_or_risk,215.7,180.37675330850303,224.59251129249543,,,48.336259794223665,1.9486651323424322,0.0,215.7,180.37675330850303,237.27,194.13,198.41442863935336,162.33907797765275,True,20210105,245.12249999999997,sar_break,,sar_break
20210114,20210115,000858.SZ,sell,100,288.0,287.856,287.856,28785.6,8.635679999999999,28.7856,14.400000000000546,28748.17872,29743.780457999997,-995.6017379999976,-0.033472602428795,10.0,signal_or_risk,289.4,248.4076448068997,288.1118181595944,,,55.73496891250686,1.5522604788625425,0.0,288.0,247.2059492204116,318.34,260.46,273.24840928758965,223.56688032620977,True,20210105,297.3486,sar_break,,sar_break
20210114,20210115,300014.SZ,sell,400,87.01,86.96649500000001,86.96649500000001,34786.598000000005,10.4359794,34.786598000000005,17.401999999998452,34741.3754226,37229.76558,-2488.3901573999974,-0.0668387275244293,10.0,signal_or_risk,89.1,86.28820392839653,98.78110887425866,,,66.12461184643836,1.03704072864721,0.0,87.01,84.2641596387181,106.92,71.28,103.54584471407584,69.03056314271723,True,20210105,93.0465,sar_break,,sar_break
20210127,20210128,600809.SH,sell,100,356.31,356.131845,356.131845,35613.1845,10.68395535,35.6131845,17.815500000000384,35566.88736015,37329.84559499999,-1762.9582348499898,-0.0472265075504658,23.0,signal_or_risk,363.0,239.55661277814232,286.41203841794425,,,30.72721498888535,0.8096180904110597,0.0,356.31,235.1416437988427,399.3,326.7,263.5122740559566,215.60095150032808,True,20210105,373.1865,sar_break,,sar_break
20210128,20210129,601601.SH,sell,800,36.16,36.14192,36.14192,28913.536,8.6740608,28.913536,14.463999999998125,28875.9484032,30504.388572,-1628.4401687999998,-0.0533837996770978,24.0,signal_or_risk,36.66,30.21914722445696,36.170654124636435,,,41.70212765957448,0.9174343658103792,0.0,36.16,29.806993006993007,40.33,32.99,33.24435918064237,27.193935268271556,True,20210105,38.11905,sar_break,,sar_break
20210128,20210129,601899.SH,sell,3400,9.9,9.89505,9.89505,33643.170000000006,10.092951,33.643170000000005,16.829999999997014,33599.433879000004,34333.4499459,-734.0160668999961,-0.0213790361311374,24.0,signal_or_risk,9.68,8.818596958698949,10.531299673818166,,,31.319910514541434,1.0817298628666656,0.0,9.9,9.019019616851198,10.65,8.71,9.702278678733864,7.934915238664034,True,20210105,10.095045,sar_break,,sar_break
20210128,20210129,600031.SH,sell,1000,41.14,41.11943,41.11943,41119.43,12.335829,41.11943,20.56999999999931,41065.974741,34537.613176499995,6528.361564500003,0.189021792882376,24.0,signal_or_risk,40.36,36.29650675048378,43.97668929877742,,,49.97790543526291,0.7028852650275743,0.0,41.14,36.99797541414526,44.4,36.32,39.92975470073042,32.66325880023714,True,20210105,34.527255,sar_break,,sar_break
20210129,20210201,000725.SZ,sell,5900,6.25,6.246875,6.246875,36856.5625,11.05696875,36.8565625,18.437499999998952,36808.64896875,34542.617177249995,2266.031791500005,0.0656010452211023,27.0,signal_or_risk,6.18,5.556898584905659,6.734817216981132,,,46.62379421221864,1.1553397180359015,0.0,6.25,5.6198408018867925,6.8,5.56,6.11438679245283,4.9994103773584895,True,20210105,5.852924999999999,sar_break,,sar_break
20210129,20210201,603288.SH,sell,100,194.99,194.89250500000003,194.89250500000003,19489.2505,5.84677515,19.4892505,9.74949999999808,19463.914474350004,20016.003,-552.0885256499969,-0.0275823562601382,27.0,signal_or_risk,197.15,107.04762369305986,119.22656459813383,,,38.39811542991749,0.6865603445767249,0.0,194.99,105.87479657068091,216.87,177.44,117.75510093996397,96.34557620135196,True,20210105,200.1,sar_break,,sar_break
