acceleration,maximum,volume_threshold,rsi_ceiling,max_positions,rebalance_interval,stop_loss,take_profit,total_return,annual_return,annual_volatility,sharpe_ratio,max_drawdown,benchmark_total_return,excess_total_return,benchmark_annual_return,excess_annual_return,benchmark_max_drawdown,max_drawdown_gap,beats_benchmark_total_return,beats_benchmark_annual_return,calmar_ratio,information_ratio,positive_day_ratio,trade_win_rate,average_win,average_loss,payoff_ratio,profit_factor,average_holding_days,turnover,average_exposure,median_exposure,low_exposure_day_ratio,average_positions,zero_position_day_ratio,executed_trade_count,sell_trade_count,unique_symbols_traded,top_symbol_trade_value_share,final_value,passes_selection_constraints,meets_sample_in_floor,excess_total_return_for_score
0.003,0.05,0.0,100,30,20,0.3,10.0,0.5378755690921428,0.09313387107570015,0.17242259111945912,0.366157767760022,-0.28224953271321185,0.5022165042569666,0.035659064835176224,0.08784081912570496,0.005293051949995187,-0.32461968881054826,0.04237015609733641,1.0,1.0,0.32996997437133624,0.0036714727702092066,0.5069843878389483,0.42704626334519574,0.13588539457600715,-0.062171594310692954,2.1856507957145324,1.4256762530938902,54.78291814946619,51.373905137042726,0.7628082224923372,0.8350543542507831,0.06896551724137931,17.136288998357966,0.034482758620689655,1135.0,562.0,93.0,0.036849766654777925,1537875.5690921429,1.0,0.0,0.035659064835176224
0.003,0.05,0.0,100,30,20,1.0,10.0,0.5378755690921428,0.09313387107570015,0.17242259111945912,0.366157767760022,-0.28224953271321185,0.5022165042569666,0.035659064835176224,0.08784081912570496,0.005293051949995187,-0.32461968881054826,0.04237015609733641,1.0,1.0,0.32996997437133624,0.0036714727702092066,0.5069843878389483,0.42704626334519574,0.13588539457600715,-0.062171594310692954,2.1856507957145324,1.4256762530938902,54.78291814946619,51.373905137042726,0.7628082224923372,0.8350543542507831,0.06896551724137931,17.136288998357966,0.034482758620689655,1135.0,562.0,93.0,0.036849766654777925,1537875.5690921429,1.0,0.0,0.035659064835176224
0.003,0.05,0.0,100,30,60,0.3,10.0,0.3968022859673519,0.07158818859787885,0.11564677757857282,0.3596138990524226,-0.2527896847602128,0.5022165042569666,-0.10541421828961473,0.08784081912570496,-0.016252630527826106,-0.32461968881054826,0.07183000405033546,0.0,0.0,0.28319268116412594,-0.18874732852793993,0.4732949876746097,0.4358974358974359,0.12841516618297502,-0.054169318684816364,2.3706254629148535,1.5223511615100218,48.08974358974359,36.06947015016315,0.4721969410086538,0.4244018181004107,0.24548440065681446,10.236453201970443,0.09688013136288999,790.0,390.0,87.0,0.03294420819457171,1396802.2859673519,1.0,0.0,-0.10541421828961473
0.003,0.05,0.0,100,30,60,1.0,10.0,0.3968022859673519,0.07158818859787885,0.11564677757857282,0.3596138990524226,-0.2527896847602128,0.5022165042569666,-0.10541421828961473,0.08784081912570496,-0.016252630527826106,-0.32461968881054826,0.07183000405033546,0.0,0.0,0.28319268116412594,-0.18874732852793993,0.4732949876746097,0.4358974358974359,0.12841516618297502,-0.054169318684816364,2.3706254629148535,1.5223511615100218,48.08974358974359,36.06947015016315,0.4721969410086538,0.4244018181004107,0.24548440065681446,10.236453201970443,0.09688013136288999,790.0,390.0,87.0,0.03294420819457171,1396802.2859673519,1.0,0.0,-0.10541421828961473
0.003,0.05,0.0,100,50,20,0.3,10.0,0.487278334822115,0.08559382017372719,0.17495300222989152,0.3177643107871671,-0.28380632780633563,0.5022165042569666,-0.0149381694348516,0.08784081912570496,-0.0022469989519777744,-0.32461968881054826,0.04081336100421262,0.0,0.0,0.30159235995659295,-0.042415370630606325,0.5086277732128184,0.4189406099518459,0.1337241245191168,-0.06590462498931952,2.0290552376375417,1.3537443552901847,54.479935794542534,52.53002984214338,0.7594579199031386,0.8426404129353595,0.06896551724137931,18.91215106732348,0.034482758620689655,1259.0,623.0,96.0,0.037610783087904505,1487278.334822115,1.0,0.0,-0.0149381694348516
0.003,0.05,0.0,100,50,20,1.0,10.0,0.487278334822115,0.08559382017372719,0.17495300222989152,0.3177643107871671,-0.28380632780633563,0.5022165042569666,-0.0149381694348516,0.08784081912570496,-0.0022469989519777744,-0.32461968881054826,0.04081336100421262,0.0,0.0,0.30159235995659295,-0.042415370630606325,0.5086277732128184,0.4189406099518459,0.1337241245191168,-0.06590462498931952,2.0290552376375417,1.3537443552901847,54.479935794542534,52.53002984214338,0.7594579199031386,0.8426404129353595,0.06896551724137931,18.91215106732348,0.034482758620689655,1259.0,623.0,96.0,0.037610783087904505,1487278.334822115,1.0,0.0,-0.0149381694348516
0.003,0.05,0.0,100,50,60,0.3,10.0,0.3546680232101287,0.06481894197255866,0.11654315589518806,0.298764365055231,-0.2625150003733464,0.5022165042569666,-0.14754848104683793,0.08784081912570496,-0.023021877153146297,-0.32461968881054826,0.06210468843720185,0.0,0.0,0.24691519296182604,-0.23185249753477655,0.4741166803615448,0.42093023255813955,0.12684593257933482,-0.05632433187953711,2.2520628003297904,1.4452866143909269,48.48372093023256,35.870572881418255,0.46880416999554403,0.42423598532120294,0.2561576354679803,11.43431855500821,0.090311986863711,873.0,430.0,88.0,0.03487313316022032,1354668.0232101288,1.0,0.0,-0.14754848104683793
0.003,0.05,0.0,100,50,60,1.0,10.0,0.3546680232101287,0.06481894197255866,0.11654315589518806,0.298764365055231,-0.2625150003733464,0.5022165042569666,-0.14754848104683793,0.08784081912570496,-0.023021877153146297,-0.32461968881054826,0.06210468843720185,0.0,0.0,0.24691519296182604,-0.23185249753477655,0.4741166803615448,0.42093023255813955,0.12684593257933482,-0.05632433187953711,2.2520628003297904,1.4452866143909269,48.48372093023256,35.870572881418255,0.46880416999554403,0.42423598532120294,0.2561576354679803,11.43431855500821,0.090311986863711,873.0,430.0,88.0,0.03487313316022032,1354668.0232101288,1.0,0.0,-0.14754848104683793
0.003,0.05,0.5,100,30,20,0.3,10.0,0.6681681641997113,0.1116822059600251,0.18198421071245463,0.44884226845969405,-0.29189269861326683,0.5022165042569666,0.16595165994274463,0.08784081912570496,0.023841386834320133,-0.32461968881054826,0.032726990197281425,1.0,1.0,0.3826139074071002,0.12887929379489846,0.504519309778143,0.424408014571949,0.13662628491920448,-0.06299184690200031,2.168951882483476,1.5143478885241908,54.69581056466302,49.78794485398383,0.7656136085401196,0.8837440204206628,0.07471264367816093,16.747947454844006,0.0361247947454844,1109.0,549.0,93.0,0.04321148339849195,1668168.1641997113,1.0,1.0,0.12
0.003,0.05,0.5,100,30,20,1.0,10.0,0.6681681641997113,0.1116822059600251,0.18198421071245463,0.44884226845969405,-0.29189269861326683,0.5022165042569666,0.16595165994274463,0.08784081912570496,0.023841386834320133,-0.32461968881054826,0.032726990197281425,1.0,1.0,0.3826139074071002,0.12887929379489846,0.504519309778143,0.424408014571949,0.13662628491920448,-0.06299184690200031,2.168951882483476,1.5143478885241908,54.69581056466302,49.78794485398383,0.7656136085401196,0.8837440204206628,0.07471264367816093,16.747947454844006,0.0361247947454844,1109.0,549.0,93.0,0.04321148339849195,1668168.1641997113,1.0,1.0,0.12
